Vehicle_ID,Lane,Frame,Timestamp,X_Position,Y_Position
5,1,17,0.57,71,289
2,1,43,1.43,151,289
19,3,63,2.1,505,293
3,1,64,2.13,74,293
7,2,75,2.5,330,289
8,1,103,3.43,87,293
24,2,140,4.67,316,290
13,1,152,5.07,154,288
26,1,200,6.67,139,296
34,1,252,8.4,158,291
36,1,276,9.2,167,292
25,2,286,9.53,318,293
38,1,289,9.63,78,291
69,2,338,11.27,327,290
45,1,339,11.3,164,288
53,1,343,11.43,76,295
54,1,366,12.2,161,291
57,1,379,12.63,84,289
83,2,389,12.97,340,288
59,1,413,13.77,162,288
92,2,442,14.73,344,292
68,1,462,15.4,143,293
84,1,537,17.9,82,288
103,1,598,19.93,165,290
104,1,598,19.93,85,293
107,1,645,21.5,93,291
109,1,668,22.27,156,291
128,2,683,22.77,334,288
119,1,738,24.6,159,296
141,2,749,24.97,322,289
154,1,789,26.3,87,291
152,1,791,26.37,140,288
123,1,822,27.4,174,293
144,1,895,29.83,170,288
151,1,965,32.17,88,288
176,2,979,32.63,323,288
189,3,1001,33.37,530,289
136,1,1051,35.03,178,289
203,3,1059,35.3,532,292
173,1,1126,37.53,78,289
171,1,1150,38.33,170,290
184,1,1211,40.37,72,289
226,3,1213,40.43,520,291
169,1,1215,40.5,189,291
174,1,1282,42.73,185,288
194,1,1299,43.3,85,289
242,1,1359,45.3,81,288
234,1,1375,45.83,174,289
255,3,1379,45.97,537,290
268,1,1450,48.33,86,290
276,3,1474,49.13,529,289
273,1,1476,49.2,187,290
236,1,1515,50.5,74,288
303,3,1551,51.7,523,292
245,1,1552,51.73,165,291
315,3,1604,53.47,508,290
248,1,1611,53.7,80,288
283,1,1613,53.77,178,288
139,2,1640,54.67,310,288
295,1,1675,55.83,173,290
333,2,1705,56.83,321,289
261,1,1713,57.1,93,288
294,1,1724,57.47,180,290
321,1,1771,59.03,172,288
336,2,1771,59.03,312,288
367,1,1831,61.03,171,290
327,2,1853,61.77,323,288
362,1,1869,62.3,89,288
332,1,1904,63.47,168,289
386,1,1905,63.5,172,291
324,2,1932,64.4,322,291
412,2,2008,66.93,333,291
377,1,2017,67.23,183,289
399,1,2081,69.37,77,288
369,1,2098,69.93,168,290
385,2,2107,70.23,328,293
373,1,2156,71.87,75,290
397,1,2158,71.93,173,288
398,2,2158,71.93,305,289
475,2,2216,73.87,320,289
382,1,2238,74.6,87,289
421,1,2252,75.07,174,289
480,2,2270,75.67,316,288
449,1,2301,76.7,163,292
396,1,2303,76.77,83,288
436,1,2365,78.83,80,288
459,1,2442,81.4,181,292
474,1,2472,82.4,77,288
489,2,2483,82.77,332,290
493,1,2508,83.6,167,291
491,1,2516,83.87,82,290
497,2,2540,84.67,324,289
499,1,2556,85.2,162,296
521,2,2642,88.07,333,292
513,1,2663,88.77,168,296
517,1,2687,89.57,94,290
524,1,2687,89.57,79,289
534,1,2761,92.03,172,292
533,1,2798,93.27,146,292
535,1,2844,94.8,169,289
537,1,2915,97.17,149,289
540,1,2946,98.2,82,289
543,1,2968,98.93,166,288
552,1,3059,101.97,145,290
553,1,3103,103.43,87,292
550,2,3111,103.7,327,288
561,1,3165,105.5,153,292
563,1,3183,106.1,69,294
569,1,3193,106.43,164,289
586,2,3199,106.63,336,290
573,1,3216,107.2,167,291
570,1,3247,108.23,164,288
564,2,3264,108.8,331,288
571,1,3279,109.3,75,288
583,1,3305,110.17,147,290
599,3,3341,111.37,527,290
587,1,3343,111.43,79,288
567,2,3357,111.9,331,289
607,1,3418,113.93,171,293
612,1,3472,115.73,70,289
619,3,3513,117.1,526,290
604,1,3516,117.2,80,288
620,1,3565,118.83,83,291
613,1,3574,119.13,152,292
618,1,3634,121.13,76,289
617,1,3643,121.43,156,291
629,3,3665,122.17,524,289
630,2,3673,122.43,319,289
622,1,3748,124.93,152,294
632,1,3888,129.6,167,288
633,2,3912,130.4,325,289
643,1,3923,130.77,147,294
636,1,3924,130.8,79,288
644,1,3954,131.8,164,288
645,1,3971,132.37,79,292
639,2,4034,134.47,320,291
651,1,4056,135.2,87,289
661,1,4118,137.27,166,288
673,1,4137,137.9,164,293
690,3,4159,138.63,544,288
700,1,4166,138.87,79,289
663,1,4170,139.0,65,289
670,1,4172,139.07,167,292
678,1,4190,139.67,83,293
649,2,4205,140.17,312,288
683,1,4208,140.27,167,292
719,3,4227,140.9,520,289
682,1,4241,141.37,78,293
693,1,4252,141.73,171,289
708,1,4271,142.37,78,291
745,1,4289,142.97,176,288
712,1,4306,143.53,87,289
703,1,4320,144.0,173,292
710,1,4343,144.77,80,289
718,1,4366,145.53,178,291
757,2,4437,147.9,319,288
776,3,4437,147.9,524,292
768,1,4505,150.17,174,289
777,2,4533,151.1,325,288
685,2,4612,153.73,329,288
774,1,4622,154.07,156,292
809,1,4659,155.3,165,291
796,1,4670,155.67,82,288
802,1,4723,157.43,77,290
831,3,4740,158.0,503,288
805,1,4752,158.4,152,288
694,2,4784,159.47,320,288
819,1,4798,159.93,72,293
823,1,4813,160.43,168,290
854,3,4814,160.47,538,291
829,1,4829,160.97,79,290
833,1,4846,161.53,175,292
839,1,4886,162.87,166,292
848,2,4895,163.17,317,291
851,1,4924,164.13,76,293
855,1,4937,164.57,184,289
893,2,4962,165.4,323,290
868,1,5003,166.77,85,290
865,1,5012,167.07,180,289
876,1,5058,168.6,182,290
886,1,5084,169.47,82,292
918,3,5084,169.47,549,289
763,2,5107,170.23,330,289
