Vehicle_ID,First_Lane,Last_Lane,First_Frame,Last_Frame,Duration_Frames,Duration_Seconds
5,1,1,6,18,12,0.4
7,2,2,9,82,73,2.433333333333333
2,1,1,23,45,22,0.7333333333333333
15,3,3,43,75,32,1.0666666666666667
3,1,1,48,65,17,0.5666666666666667
4,2,2,53,91,38,1.2666666666666666
19,3,3,59,68,9,0.3
8,1,1,86,104,18,0.6
24,2,2,117,144,27,0.9
13,1,1,131,153,22,0.7333333333333333
26,1,1,181,201,20,0.6666666666666666
32,1,1,201,223,22,0.7333333333333333
34,1,1,232,254,22,0.7333333333333333
51,1,1,239,269,30,1.0
25,2,2,250,288,38,1.2666666666666666
36,1,1,257,277,20,0.6666666666666666
38,1,1,264,291,27,0.9
35,2,2,301,329,28,0.9333333333333333
66,2,2,313,344,31,1.0333333333333334
45,1,1,317,341,24,0.8
53,1,1,318,344,26,0.8666666666666667
69,2,2,327,341,14,0.4666666666666667
54,1,1,345,375,30,1.0
57,1,1,355,381,26,0.8666666666666667
44,2,2,356,377,21,0.7
83,2,2,372,391,19,0.6333333333333333
59,1,1,390,414,24,0.8
60,2,2,406,431,25,0.8333333333333334
92,2,2,441,444,3,0.1
68,1,1,442,464,22,0.7333333333333333
84,1,1,513,541,28,0.9333333333333333
104,1,1,572,600,28,0.9333333333333333
97,1,1,576,586,10,0.3333333333333333
103,1,1,579,599,20,0.6666666666666666
107,1,1,626,647,21,0.7
100,2,2,646,674,28,0.9333333333333333
109,1,1,652,669,17,0.5666666666666667
128,2,2,681,689,8,0.26666666666666666
111,2,2,707,730,23,0.7666666666666667
119,1,1,719,739,20,0.6666666666666666
141,2,2,738,753,15,0.5
114,1,1,756,776,20,0.6666666666666666
140,1,1,757,781,24,0.8
152,1,1,782,796,14,0.4666666666666667
154,1,1,786,792,6,0.2
123,1,1,794,824,30,1.0
120,2,1,822,965,143,4.766666666666667
144,1,1,829,926,97,3.2333333333333334
136,1,1,870,1065,195,6.5
151,1,1,894,977,83,2.7666666666666666
176,2,2,912,1022,110,3.6666666666666665
139,2,2,977,1694,717,23.9
189,3,3,979,1004,25,0.8333333333333334
203,3,3,1040,1065,25,0.8333333333333334
173,1,1,1042,1134,92,3.066666666666667
171,1,1,1065,1157,92,3.066666666666667
184,1,1,1143,1218,75,2.5
147,2,2,1149,1188,39,1.3
169,1,1,1153,1220,67,2.2333333333333334
218,1,1,1164,1172,8,0.26666666666666666
226,3,3,1193,1217,24,0.8
174,1,1,1221,1288,67,2.2333333333333334
194,1,1,1231,1356,125,4.166666666666667
208,1,1,1297,1345,48,1.6
242,1,1,1313,1403,90,3.0
234,1,1,1316,1380,64,2.1333333333333333
255,3,3,1357,1384,27,0.9
227,1,1,1384,1430,46,1.5333333333333334
268,1,1,1405,1481,76,2.533333333333333
239,1,1,1416,1465,49,1.6333333333333333
236,1,1,1435,1526,91,3.033333333333333
273,1,1,1435,1529,94,3.1333333333333333
276,3,3,1445,1479,34,1.1333333333333333
282,1,1,1469,1488,19,0.6333333333333333
245,1,1,1489,1557,68,2.2666666666666666
248,1,1,1501,1623,122,4.066666666666666
291,1,1,1503,1503,0,0.0
303,3,3,1526,1556,30,1.0
283,1,1,1551,1618,67,2.2333333333333334
307,1,1,1555,1566,11,0.36666666666666664
261,1,1,1559,1774,215,7.166666666666667
315,3,3,1572,1609,37,1.2333333333333334
316,1,1,1573,1603,30,1.0
329,1,1,1619,1652,33,1.1
295,1,1,1622,1728,106,3.533333333333333
333,2,2,1623,1713,90,3.0
229,2,2,1626,1634,8,0.26666666666666666
258,1,1,1673,1815,142,4.733333333333333
294,1,1,1674,1728,54,1.8
341,1,1,1688,1701,13,0.43333333333333335
296,2,2,1698,1717,19,0.6333333333333333
336,2,2,1700,1780,80,2.6666666666666665
346,2,2,1723,1755,32,1.0666666666666667
321,1,1,1725,1776,51,1.7
355,1,1,1752,1756,4,0.13333333333333333
358,1,1,1759,1786,27,0.9
326,1,1,1784,1828,44,1.4666666666666666
362,1,1,1789,1943,154,5.133333333333334
327,2,2,1792,1857,65,2.1666666666666665
367,1,1,1800,1835,35,1.1666666666666667
330,1,1,1820,1891,71,2.3666666666666667
379,1,1,1863,1923,60,2.0
332,1,1,1865,1908,43,1.4333333333333333
324,2,2,1885,1934,49,1.6333333333333333
386,1,1,1891,1909,18,0.6
387,2,2,1895,1925,30,1.0
399,1,1,1954,2146,192,6.4
359,2,2,1959,1960,1,0.03333333333333333
377,1,1,1971,2021,50,1.6666666666666667
406,2,2,1979,2018,39,1.3
412,2,2,1993,2064,71,2.3666666666666667
411,1,1,1996,2021,25,0.8333333333333334
407,1,1,2013,2037,24,0.8
416,1,1,2026,2066,40,1.3333333333333333
429,1,1,2030,2060,30,1.0
373,1,1,2033,2162,129,4.3
431,2,2,2033,2068,35,1.1666666666666667
432,1,1,2037,2067,30,1.0
365,2,2,2045,2066,21,0.7
369,1,1,2050,2103,53,1.7666666666666666
385,2,2,2065,2109,44,1.4666666666666666
440,1,1,2065,2104,39,1.3
433,1,1,2069,2089,20,0.6666666666666666
444,2,2,2079,2115,36,1.2
397,1,1,2109,2162,53,1.7666666666666666
398,2,2,2117,2161,44,1.4666666666666666
382,1,1,2174,2245,71,2.3666666666666667
404,2,2,2177,2202,25,0.8333333333333334
475,2,2,2207,2221,14,0.4666666666666667
421,1,1,2218,2255,37,1.2333333333333334
417,2,2,2238,2270,32,1.0666666666666667
479,2,2,2243,2274,31,1.0333333333333334
396,1,1,2245,2310,65,2.1666666666666665
480,2,2,2255,2274,19,0.6333333333333333
449,1,1,2269,2303,34,1.1333333333333333
485,1,1,2273,2303,30,1.0
436,1,1,2310,2372,62,2.066666666666667
459,1,1,2407,2453,46,1.5333333333333334
474,1,1,2426,2488,62,2.066666666666667
489,2,2,2441,2486,45,1.5
491,1,1,2474,2520,46,1.5333333333333334
493,1,1,2481,2510,29,0.9666666666666667
497,2,2,2486,2600,114,3.8
499,1,1,2530,2557,27,0.9
500,2,2,2545,2573,28,0.9333333333333333
